propertyCode,latitude,longitude
105792251,40.4348221,-3.6939341
104370088,40.4197139,-3.6863839
105935525,40.4259888,-3.6752502
104011225,40.4187309,-3.7007529
105376875,40.4168341,-3.6996125
106190483,40.4504015,-3.652252
104662130,40.4505033,-3.6418927
104079750,40.4603199,-3.6536889
104254787,40.4729042,-3.823361
86575273,40.450486,-3.6388953
105844720,40.4261384,-3.6781929
105953148,40.4556753,-3.69252
105656413,40.4199158,-3.7083691
106334444,40.4481418,-3.6342026
104556912,40.3758939,-3.5800376
104254611,40.3758939,-3.5800376
104556674,40.3758939,-3.5800376
104554313,40.4747779,-3.7302159
104554408,40.4747779,-3.7302159
104554398,40.4747779,-3.7302159
105935279,40.421107,-3.6851897
105298740,40.4082711,-3.6744783
105718075,40.4344453,-3.7011733
105059338,40.4564867,-3.6523811
106269895,40.4568881,-3.7802324
105439093,40.4304554,-3.6645559
105887154,40.4263227,-3.6811889
104214883,40.4255046,-3.6855998
87516553,40.4344303,-3.7178318
100972482,40.4341283,-3.6615593
105354974,40.4362188,-3.6839812
106229635,40.4251183,-3.7136057
105945107,40.4330901,-3.6806884
106034136,40.4183464,-3.7010792
105338148,40.4283008,-3.6773103
105692944,40.4334629,-3.6851523
105379719,40.4154585,-3.6731429
106235078,40.3805789,-3.6229751
106053407,40.4348806,-3.6849664
106232981,40.3789736,-3.6215996
105904644,40.4564463,-3.7021202
105425617,40.4233027,-3.6799069
103655240,40.4212347,-3.6973713
104635587,40.4307029,-3.6679957
105717162,40.4263148,-3.6705399
105362922,40.4222219,-3.6987659
106094454,40.4359244,-3.6224474
106295762,40.4695843,-3.7270654
105169859,40.4752893,-3.7341828
105621684,40.4262228,-3.7051463
106293552,40.4468585,-3.6600742
103786667,40.4668571,-3.6811301
105609199,40.4530525,-3.6704188
104952998,40.4223179,-3.6738964
105458784,40.5060281,-3.6689973
106289676,40.4994135,-3.6726518
102337728,40.4199396,-3.6985319
105625856,40.4033849,-3.6800512
106079633,40.4365357,-3.682536
101980713,40.4291479,-3.6870993
105510963,40.4926581,-3.6553776
106056840,40.4938295,-3.6605686
105781276,40.3884961,-3.687323
105575130,40.4134506,-3.6984233
101792453,40.4556582,-3.7719874
104377549,40.4887933,-3.658817
103910133,40.4728773,-3.7695867
105367340,40.4137322,-3.6977051
101605287,40.4547318,-3.7777891
96292622,40.4697366,-3.7962853
102981559,40.4146839,-3.7042856
103775576,40.4502602,-3.6866587
103868199,40.4940505,-3.618054
104916900,40.4686518,-3.6806022
104580925,40.432192,-3.6902547
106134430,40.3999708,-3.7551017
106211397,40.4671583,-3.6777979
104567294,40.4232518,-3.7059876
101981389,40.4106931,-3.7042175
97875752,40.4667057,-3.6806596
97875752,40.4667057,-3.6806596
101399733,40.4560948,-3.7923488
105893822,40.4549016,-3.7731325
106143023,40.4337886,-3.681939
106280987,40.4290021,-3.7069818
104938362,40.4231023,-3.6729937
106191081,40.4121216,-3.7054612
106083962,40.4273293,-3.6900325
106294584,40.4877644,-3.7242355
105451572,40.4532374,-3.6222437
100421542,40.4237452,-3.6679603
106016508,40.4525841,-3.6199289
104103711,40.466116,-3.6711564
103550321,40.4275241,-3.7190864
105684691,40.4952336,-3.6179899
106282078,40.4484828,-3.6973614
105534224,40.4709447,-3.7283725
103792977,40.4736295,-3.8269709
103628504,40.4692232,-3.8122808
105891810,40.4540501,-3.6284867
96982668,40.4727078,-3.8145335
105289238,40.4722832,-3.7269229
97801997,40.4794654,-3.741656
106306173,40.4353388,-3.651146
105969917,40.422134,-3.7147932
106065061,40.4636088,-3.6657833
104111225,40.4676145,-3.6797877
101344227,40.4563102,-3.6264718
104210607,40.4278876,-3.7003323
105725419,40.4534258,-3.7788869
106071251,40.4208457,-3.6981382
106134199,40.4358265,-3.6480139
106226512,40.444838,-3.6958114
103952448,40.4686341,-3.6800244
104437905,40.4530195,-3.7127582
105527162,40.481596,-3.6957855
105528344,40.4153473,-3.711604
105829686,40.4226253,-3.6719929
